Order_ID,Order_Date,Region,State,City,Salesperson,Category,Sub_Category,Product,Quantity,Unit_Price,Discount,Revenue,Cost,Profit,Customer_Segment,Payment_Mode
ORD-0521,2025-01-01,East,Odisha,Rourkela,Arjun,Electronics,Mobiles,Smartphone Pro,7,42000,0.0,294000.0,207265.09,86734.91,Consumer,Credit Card
ORD-0485,2025-01-02,North,Punjab,Amritsar,Meera,Electronics,Mobiles,Budget Phone,3,14000,0.1,37800.0,28446.13,9353.87,Consumer,UPI
ORD-0145,2025-01-03,South,Tamil Nadu,Chennai,Rohan,Electronics,Mobiles,Budget Phone,4,14000,0.0,56000.0,41952.6,14047.4,Small Business,Credit Card
ORD-0500,2025-01-04,North,Haryana,Faridabad,Arjun,Electronics,Mobiles,Budget Phone,6,14000,0.05,79800.0,54821.63,24978.37,Corporate,Debit Card
ORD-0266,2025-01-05,West,Goa,Margao,Ananya,Furniture,Storage,Storage Unit,1,11500,0.1,10350.0,7988.35,2361.65,Corporate,Credit Card
ORD-0087,2025-01-07,East,Odisha,Rourkela,Diya,Home Appliances,Kitchen,Air Fryer,5,6500,0.05,30875.0,21343.2,9531.8,Consumer,UPI
ORD-0127,2025-01-07,East,Bihar,Patna,Kabir,Office Supplies,Writing,Notebook,4,180,0.05,684.0,546.69,137.31,Small Business,Credit Card
ORD-0097,2025-01-12,North,Delhi,Gurugram,Ishita,Home Appliances,Kitchen,Mixer Grinder,2,4200,0.1,7560.0,5554.23,2005.77,Small Business,Debit Card
ORD-0577,2025-01-13,East,West Bengal,Howrah,Kabir,Office Supplies,Writing,Notebook,1,180,0.0,180.0,137.27,42.73,Corporate,UPI
ORD-0075,2025-01-15,South,Karnataka,Bengaluru,Rohan,Electronics,Mobiles,Budget Phone,7,14000,0.15,83300.0,53982.36,29317.64,Corporate,Credit Card
ORD-0592,2025-01-15,West,Rajasthan,Udaipur,Kabir,Electronics,Laptops,Business Laptop,7,68000,0.05,452200.0,354542.09,97657.91,Corporate,Credit Card
ORD-0204,2025-01-16,East,Bihar,Patna,Aarav,Furniture,Tables,Office Desk,6,14500,0.15,73950.0,47762.95,26187.05,Consumer,Cash
ORD-0547,2025-01-16,North,Punjab,Ludhiana,Kabir,Home Appliances,Kitchen,Electric Kettle,2,1800,0.15,3060.0,2234.22,825.78,Corporate,UPI
ORD-0143,2025-01-19,West,Maharashtra,Mumbai,Ishita,Electronics,Accessories,Smart Watch,5,6500,0.15,27625.0,22753.29,4871.71,Small Business,Net Banking
ORD-0379,2025-01-25,North,Uttar Pradesh,Noida,Ishita,Office Supplies,Writing,Notebook,1,180,0.1,162.0,112.58,49.42,Consumer,UPI
ORD-0489,2025-01-25,West,Goa,Margao,Kabir,Electronics,Laptops,Laptop Air,4,58000,0.05,220400.0,184223.53,36176.47,Corporate,Credit Card
ORD-0424,2025-01-25,West,Gujarat,Surat,Diya,Electronics,Mobiles,Budget Phone,3,14000,0.1,37800.0,29496.59,8303.41,Small Business,UPI
ORD-0404,2025-01-26,North,Punjab,Jalandhar,Arjun,Office Supplies,Writing,Marker Set,3,320,0.05,912.0,676.0,236.0,Corporate,Credit Card
ORD-0369,2025-01-26,West,Rajasthan,Jaipur,Arjun,Electronics,Laptops,Laptop Air,6,58000,0.0,348000.0,247973.48,100026.52,Consumer,Credit Card
ORD-0571,2025-01-29,North,Delhi,Noida,Kabir,Electronics,Accessories,Smart Watch,4,6500,0.2,20800.0,16559.25,4240.75,Corporate,UPI
ORD-0392,2025-01-30,West,Rajasthan,Udaipur,Ananya,Office Supplies,Paper,Premium Paper,2,650,0.15,1105.0,686.41,418.59,Consumer,Debit Card
ORD-0341,2025-01-31,West,Gujarat,Surat,Arjun,Home Appliances,Cleaning,Steam Mop,7,5200,0.2,29120.0,19792.88,9327.12,Corporate,Debit Card
ORD-0091,2025-02-03,West,Gujarat,Vadodara,Aarav,Office Supplies,Writing,Notebook,5,180,0.15,765.0,558.13,206.87,Consumer,Credit Card
ORD-0447,2025-02-04,South,Telangana,Nizamabad,Kabir,Electronics,Mobiles,Smartphone X,7,28000,0.0,196000.0,149411.62,46588.38,Corporate,UPI
ORD-0305,2025-02-07,North,Punjab,Jalandhar,Rohan,Electronics,Accessories,Smart Watch,6,6500,0.1,35100.0,23771.55,11328.45,Consumer,UPI
ORD-0111,2025-02-09,North,Delhi,Noida,Kabir,Furniture,Tables,Study Table,3,6500,0.15,16575.0,11544.79,5030.21,Small Business,Debit Card
ORD-0508,2025-02-11,West,Maharashtra,Nagpur,Aarav,Electronics,Mobiles,Budget Phone,2,14000,0.15,23800.0,14793.4,9006.6,Consumer,Net Banking
ORD-0299,2025-02-12,West,Goa,Vasco da Gama,Aarav,Electronics,Mobiles,Budget Phone,1,14000,0.05,13300.0,11161.06,2138.94,Corporate,Debit Card
ORD-0146,2025-02-12,South,Tamil Nadu,Chennai,Meera,Electronics,Mobiles,Smartphone Pro,5,42000,0.05,199500.0,144612.16,54887.84,Corporate,Debit Card
ORD-0531,2025-02-18,South,Karnataka,Mysuru,Ananya,Electronics,Laptops,Laptop Air,7,58000,0.1,365400.0,293617.7,71782.3,Consumer,Net Banking
ORD-0432,2025-02-19,South,Telangana,Nizamabad,Meera,Furniture,Tables,Conference Table,7,28000,0.0,196000.0,136820.35,59179.65,Corporate,UPI
ORD-0387,2025-02-19,North,Haryana,Faridabad,Diya,Electronics,Accessories,Power Bank,1,1800,0.0,1800.0,1332.05,467.95,Consumer,Debit Card
ORD-0078,2025-02-20,East,Jharkhand,Ranchi,Rohan,Home Appliances,Cooling,Tower Fan,1,7200,0.1,6480.0,4882.53,1597.47,Consumer,Net Banking
ORD-0147,2025-02-20,West,Rajasthan,Jaipur,Arjun,Home Appliances,Cooling,Room Heater,7,4800,0.0,33600.0,27888.85,5711.15,Consumer,Credit Card
